Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age
16895,06-12-2021 00:00,12-04-2021 22:00,05-12-2021 19:42,Lucknow,485,ASSAULT,10
16896,05-12-2021 15:00,12-04-2021 23:00,05-12-2021 02:21,Lucknow,555,DRUG OFFENSE,57
16897,07-12-2021 22:00,12-05-2021 00:00,05-12-2021 09:19,Delhi,573,BURGLARY,46
16898,06-12-2021 05:00,12-05-2021 01:00,05-12-2021 20:02,Mumbai,104,FIREARM OFFENSE,57
16899,07-12-2021 15:00,12-05-2021 02:00,05-12-2021 11:11,Bangalore,385,DOMESTIC VIOLENCE,64
16900,07-12-2021 19:00,12-05-2021 03:00,05-12-2021 05:30,Hyderabad,111,ROBBERY,66
16901,07-12-2021 17:00,12-05-2021 04:00,05-12-2021 20:21,Indore,528,ARSON,62
16902,07-12-2021 05:00,12-05-2021 05:00,05-12-2021 07:07,Delhi,377,DRUG OFFENSE,58
16903,07-12-2021 20:00,12-05-2021 06:00,05-12-2021 23:26,Chennai,475,EXTORTION,21
16904,05-12-2021 09:00,12-05-2021 07:00,05-12-2021 10:35,Agra,469,PUBLIC INTOXICATION,34
16905,08-12-2021 06:00,12-05-2021 08:00,05-12-2021 18:16,Hyderabad,205,BURGLARY,23
16906,06-12-2021 04:00,12-05-2021 09:00,06-12-2021 06:47,Chennai,146,KIDNAPPING,45
16907,06-12-2021 21:00,12-05-2021 10:00,06-12-2021 02:52,Bhopal,337,EXTORTION,48
16908,07-12-2021 22:00,12-05-2021 11:00,06-12-2021 08:59,Delhi,301,VANDALISM,28
16909,05-12-2021 19:00,12-05-2021 12:00,06-12-2021 08:04,Thane,253,VEHICLE - STOLEN,72
16910,07-12-2021 22:00,12-05-2021 13:00,06-12-2021 11:15,Mumbai,175,VEHICLE - STOLEN,45
16911,07-12-2021 19:00,12-05-2021 14:00,06-12-2021 10:31,Delhi,355,ASSAULT,11
16912,06-12-2021 07:00,12-05-2021 15:00,05-12-2021 21:26,Hyderabad,534,BURGLARY,59
16913,08-12-2021 15:00,12-05-2021 16:00,06-12-2021 01:48,Chennai,523,VEHICLE - STOLEN,73
16914,08-12-2021 02:00,12-05-2021 17:00,06-12-2021 03:24,Kolkata,299,BURGLARY,40
16915,08-12-2021 09:00,12-05-2021 18:00,06-12-2021 13:44,Delhi,289,EXTORTION,35
16916,06-12-2021 17:00,12-05-2021 19:00,06-12-2021 02:02,Kanpur,116,TRAFFIC VIOLATION,61
16917,08-12-2021 12:00,12-05-2021 20:00,05-12-2021 21:48,Mumbai,158,SEXUAL ASSAULT,24
16918,06-12-2021 16:00,12-05-2021 21:00,06-12-2021 13:54,Kanpur,409,COUNTERFEITING,13
16919,06-12-2021 06:00,12-05-2021 22:00,06-12-2021 00:26,Bangalore,246,FIREARM OFFENSE,18
16920,08-12-2021 06:00,12-05-2021 23:00,06-12-2021 19:19,Ludhiana,286,KIDNAPPING,50
16921,07-12-2021 01:00,12-06-2021 00:00,06-12-2021 22:24,Mumbai,271,SEXUAL ASSAULT,79
16922,06-12-2021 05:00,12-06-2021 01:00,06-12-2021 08:22,Bangalore,353,TRAFFIC VIOLATION,72
16923,08-12-2021 07:00,12-06-2021 02:00,06-12-2021 09:17,Hyderabad,435,DOMESTIC VIOLENCE,66
16924,08-12-2021 22:00,12-06-2021 03:00,06-12-2021 04:10,Delhi,495,TRAFFIC VIOLATION,73
16925,06-12-2021 20:00,12-06-2021 04:00,06-12-2021 05:08,Kolkata,275,DOMESTIC VIOLENCE,39
16926,08-12-2021 23:00,12-06-2021 05:00,07-12-2021 01:45,Kolkata,452,FRAUD,43
16927,09-12-2021 01:00,12-06-2021 06:00,06-12-2021 14:35,Mumbai,408,ASSAULT,22
16928,09-12-2021 06:00,12-06-2021 07:00,06-12-2021 07:12,Pune,338,TRAFFIC VIOLATION,42
16929,07-12-2021 13:00,12-06-2021 08:00,06-12-2021 23:56,Patna,389,VANDALISM,73
16930,07-12-2021 19:00,12-06-2021 09:00,07-12-2021 01:19,Srinagar,351,IDENTITY THEFT,60
16931,09-12-2021 07:00,12-06-2021 10:00,07-12-2021 03:53,Agra,224,FRAUD,54
16932,08-12-2021 08:00,12-06-2021 11:00,06-12-2021 16:48,Kolkata,383,SEXUAL ASSAULT,18
16933,08-12-2021 11:00,12-06-2021 12:00,07-12-2021 06:21,Ahmedabad,258,SHOPLIFTING,37
16934,06-12-2021 19:00,12-06-2021 13:00,06-12-2021 19:28,Nagpur,336,EXTORTION,39
16935,07-12-2021 15:00,12-06-2021 14:00,07-12-2021 10:06,Surat,288,DOMESTIC VIOLENCE,55
16936,09-12-2021 11:00,12-06-2021 15:00,06-12-2021 22:04,Kolkata,409,DRUG OFFENSE,56
16937,09-12-2021 04:00,12-06-2021 16:00,06-12-2021 21:33,Kolkata,140,DRUG OFFENSE,55
16938,07-12-2021 10:00,12-06-2021 17:00,07-12-2021 07:48,Kalyan,160,ILLEGAL POSSESSION,15
16939,08-12-2021 14:00,12-06-2021 18:00,06-12-2021 18:26,Chennai,153,TRAFFIC VIOLATION,40
16940,07-12-2021 16:00,12-06-2021 19:00,07-12-2021 02:02,Pune,416,PUBLIC INTOXICATION,68
16941,07-12-2021 02:00,12-06-2021 20:00,07-12-2021 19:48,Ludhiana,487,HOMICIDE,32
16942,09-12-2021 07:00,12-06-2021 21:00,07-12-2021 02:16,Delhi,382,CYBERCRIME,30
16943,09-12-2021 01:00,12-06-2021 22:00,07-12-2021 16:23,Kolkata,283,CYBERCRIME,44
16944,07-12-2021 06:00,12-06-2021 23:00,07-12-2021 00:16,Ludhiana,540,ARSON,72
16945,09-12-2021 17:00,12-07-2021 00:00,07-12-2021 19:46,Indore,394,PUBLIC INTOXICATION,29
16946,08-12-2021 17:00,12-07-2021 01:00,07-12-2021 22:28,Delhi,149,BURGLARY,74
16947,07-12-2021 18:00,12-07-2021 02:00,07-12-2021 11:26,Visakhapatnam,289,SEXUAL ASSAULT,19
16948,08-12-2021 09:00,12-07-2021 03:00,07-12-2021 10:11,Delhi,432,COUNTERFEITING,71
16949,07-12-2021 21:00,12-07-2021 04:00,08-12-2021 00:56,Ahmedabad,136,VANDALISM,30
16950,09-12-2021 13:00,12-07-2021 05:00,07-12-2021 13:31,Kolkata,100,CYBERCRIME,32
16951,07-12-2021 08:00,12-07-2021 06:00,08-12-2021 05:33,Kolkata,396,CYBERCRIME,21
16952,07-12-2021 20:00,12-07-2021 07:00,07-12-2021 09:13,Ahmedabad,283,EXTORTION,38
16953,09-12-2021 11:00,12-07-2021 08:00,08-12-2021 05:49,Delhi,563,ARSON,70
16954,07-12-2021 10:00,12-07-2021 09:00,08-12-2021 03:11,Ghaziabad,360,COUNTERFEITING,56
16955,08-12-2021 11:00,12-07-2021 10:00,07-12-2021 18:03,Ahmedabad,455,EXTORTION,32
16956,10-12-2021 09:00,12-07-2021 11:00,07-12-2021 14:39,Delhi,377,COUNTERFEITING,70
16957,10-12-2021 10:00,12-07-2021 12:00,07-12-2021 12:44,Bangalore,215,ROBBERY,19
16958,09-12-2021 22:00,12-07-2021 13:00,07-12-2021 20:14,Delhi,545,IDENTITY THEFT,18
16959,08-12-2021 20:00,12-07-2021 14:00,08-12-2021 06:40,Pune,371,CYBERCRIME,15
16960,10-12-2021 10:00,12-07-2021 15:00,08-12-2021 10:52,Surat,303,TRAFFIC VIOLATION,79
16961,10-12-2021 13:00,12-07-2021 16:00,07-12-2021 23:17,Nagpur,134,TRAFFIC VIOLATION,73
16962,10-12-2021 08:00,12-07-2021 17:00,07-12-2021 17:18,Hyderabad,507,DOMESTIC VIOLENCE,47
16963,10-12-2021 08:00,12-07-2021 18:00,08-12-2021 02:27,Nagpur,447,CYBERCRIME,54
16964,09-12-2021 13:00,12-07-2021 19:00,08-12-2021 04:30,Delhi,353,TRAFFIC VIOLATION,37
16965,10-12-2021 15:00,12-07-2021 20:00,08-12-2021 04:27,Chennai,484,COUNTERFEITING,38
16966,10-12-2021 16:00,12-07-2021 21:00,08-12-2021 16:07,Pune,254,SEXUAL ASSAULT,20
16967,10-12-2021 14:00,12-07-2021 22:00,07-12-2021 23:56,Chennai,323,ILLEGAL POSSESSION,54
16968,10-12-2021 12:00,12-07-2021 23:00,08-12-2021 19:37,Kalyan,253,CYBERCRIME,16
16969,10-12-2021 06:00,12-08-2021 00:00,08-12-2021 21:27,Kalyan,311,TRAFFIC VIOLATION,70
16970,10-12-2021 07:00,12-08-2021 01:00,08-12-2021 13:12,Lucknow,397,KIDNAPPING,58
16971,10-12-2021 22:00,12-08-2021 02:00,08-12-2021 02:46,Bhopal,420,DRUG OFFENSE,29
16972,10-12-2021 06:00,12-08-2021 03:00,08-12-2021 21:32,Chennai,204,KIDNAPPING,23
16973,09-12-2021 10:00,12-08-2021 04:00,08-12-2021 21:13,Bangalore,309,EXTORTION,22
16974,08-12-2021 21:00,12-08-2021 05:00,08-12-2021 14:47,Mumbai,576,SHOPLIFTING,38
16975,09-12-2021 07:00,12-08-2021 06:00,08-12-2021 16:45,Mumbai,521,DOMESTIC VIOLENCE,20
16976,08-12-2021 11:00,12-08-2021 07:00,08-12-2021 18:10,Bangalore,370,DRUG OFFENSE,25
16977,09-12-2021 08:00,12-08-2021 08:00,08-12-2021 08:19,Bangalore,536,FIREARM OFFENSE,62
16978,09-12-2021 10:00,12-08-2021 09:00,08-12-2021 21:17,Delhi,273,TRAFFIC VIOLATION,35
16979,11-12-2021 08:00,12-08-2021 10:00,08-12-2021 12:23,Pune,392,ARSON,65
16980,10-12-2021 05:00,12-08-2021 11:00,09-12-2021 10:47,Faridabad,459,DOMESTIC VIOLENCE,62
16981,09-12-2021 10:00,12-08-2021 12:00,08-12-2021 13:32,Nagpur,179,SHOPLIFTING,57
16982,08-12-2021 17:00,12-08-2021 13:00,09-12-2021 12:48,Kolkata,492,BURGLARY,54
16983,10-12-2021 03:00,12-08-2021 14:00,09-12-2021 12:24,Chennai,462,KIDNAPPING,30
16984,09-12-2021 03:00,12-08-2021 15:00,09-12-2021 12:26,Mumbai,369,HOMICIDE,54
16985,11-12-2021 04:00,12-08-2021 16:00,08-12-2021 22:54,Jaipur,281,FRAUD,66
16986,10-12-2021 04:00,12-08-2021 17:00,09-12-2021 08:05,Delhi,474,IDENTITY THEFT,59
16987,11-12-2021 08:00,12-08-2021 18:00,09-12-2021 00:01,Indore,544,SEXUAL ASSAULT,60
16988,09-12-2021 07:00,12-08-2021 19:00,09-12-2021 03:07,Patna,508,SHOPLIFTING,63
16989,10-12-2021 19:00,12-08-2021 20:00,09-12-2021 16:55,Chennai,225,PUBLIC INTOXICATION,49
16990,10-12-2021 18:00,12-08-2021 21:00,09-12-2021 00:26,Lucknow,180,COUNTERFEITING,58
16991,11-12-2021 18:00,12-08-2021 22:00,08-12-2021 22:35,Mumbai,404,TRAFFIC VIOLATION,43
16992,09-12-2021 08:00,12-08-2021 23:00,09-12-2021 19:54,Delhi,347,CYBERCRIME,27
16993,09-12-2021 17:00,12-09-2021 00:00,09-12-2021 15:16,Kanpur,570,ILLEGAL POSSESSION,74
16994,10-12-2021 03:00,12-09-2021 01:00,09-12-2021 06:05,Kanpur,265,COUNTERFEITING,22
16995,11-12-2021 01:00,12-09-2021 02:00,09-12-2021 07:41,Mumbai,510,DRUG OFFENSE,20
16996,11-12-2021 03:00,12-09-2021 03:00,09-12-2021 23:21,Visakhapatnam,367,CYBERCRIME,45
16997,10-12-2021 01:00,12-09-2021 04:00,09-12-2021 18:10,Delhi,207,PUBLIC INTOXICATION,38
16998,12-12-2021 01:00,12-09-2021 05:00,09-12-2021 09:07,Hyderabad,565,SEXUAL ASSAULT,36
16999,11-12-2021 13:00,12-09-2021 06:00,10-12-2021 05:56,Bangalore,211,IDENTITY THEFT,17
17000,10-12-2021 17:00,12-09-2021 07:00,09-12-2021 22:24,Kolkata,416,IDENTITY THEFT,66
17001,09-12-2021 09:00,12-09-2021 08:00,09-12-2021 19:07,Nagpur,249,FRAUD,17
17002,11-12-2021 04:00,12-09-2021 09:00,10-12-2021 03:11,Lucknow,196,EXTORTION,55
17003,11-12-2021 15:00,12-09-2021 10:00,10-12-2021 06:40,Mumbai,481,ILLEGAL POSSESSION,24
17004,10-12-2021 19:00,12-09-2021 11:00,10-12-2021 10:43,Ludhiana,180,SEXUAL ASSAULT,14
17005,12-12-2021 00:00,12-09-2021 12:00,10-12-2021 10:15,Chennai,369,EXTORTION,62
17006,10-12-2021 12:00,12-09-2021 13:00,10-12-2021 06:52,Mumbai,520,IDENTITY THEFT,46
17007,10-12-2021 21:00,12-09-2021 14:00,09-12-2021 16:15,Kanpur,361,PUBLIC INTOXICATION,68
17008,11-12-2021 09:00,12-09-2021 15:00,10-12-2021 03:58,Jaipur,268,FRAUD,38
17009,09-12-2021 19:00,12-09-2021 16:00,09-12-2021 16:39,Varanasi,266,ARSON,41
17010,12-12-2021 02:00,12-09-2021 17:00,10-12-2021 16:32,Thane,420,ARSON,70
17011,10-12-2021 16:00,12-09-2021 18:00,09-12-2021 18:04,Jaipur,532,BURGLARY,75
17012,11-12-2021 17:00,12-09-2021 19:00,10-12-2021 10:50,Mumbai,459,IDENTITY THEFT,25
17013,11-12-2021 06:00,12-09-2021 20:00,09-12-2021 22:29,Ahmedabad,548,EXTORTION,73
17014,11-12-2021 23:00,12-09-2021 21:00,10-12-2021 12:49,Delhi,104,SHOPLIFTING,23
17015,11-12-2021 00:00,12-09-2021 22:00,10-12-2021 19:03,Mumbai,323,DOMESTIC VIOLENCE,79
17016,10-12-2021 09:00,12-09-2021 23:00,10-12-2021 03:41,Jaipur,304,VANDALISM,35
17017,11-12-2021 01:00,12-10-2021 00:00,10-12-2021 00:18,Pune,568,SEXUAL ASSAULT,29
17018,13-12-2021 00:00,12-10-2021 01:00,10-12-2021 01:25,Delhi,457,DRUG OFFENSE,25
17019,12-12-2021 06:00,12-10-2021 02:00,10-12-2021 08:43,Kolkata,247,ILLEGAL POSSESSION,52
17020,12-12-2021 13:00,12-10-2021 03:00,10-12-2021 18:00,Kalyan,437,SEXUAL ASSAULT,61
17021,10-12-2021 15:00,12-10-2021 04:00,10-12-2021 19:44,Srinagar,279,HOMICIDE,75
17022,11-12-2021 04:00,12-10-2021 05:00,10-12-2021 05:46,Kolkata,510,COUNTERFEITING,16
17023,10-12-2021 15:00,12-10-2021 06:00,10-12-2021 14:09,Bangalore,500,SEXUAL ASSAULT,30
17024,12-12-2021 07:00,12-10-2021 07:00,10-12-2021 16:53,Ahmedabad,218,SEXUAL ASSAULT,20
17025,12-12-2021 18:00,12-10-2021 08:00,10-12-2021 12:03,Chennai,592,ASSAULT,58
17026,11-12-2021 20:00,12-10-2021 09:00,10-12-2021 23:04,Jaipur,166,COUNTERFEITING,57
17027,10-12-2021 22:00,12-10-2021 10:00,11-12-2021 03:26,Delhi,536,KIDNAPPING,50
17028,11-12-2021 11:00,12-10-2021 11:00,11-12-2021 01:13,Mumbai,519,TRAFFIC VIOLATION,31
17029,13-12-2021 09:00,12-10-2021 12:00,11-12-2021 07:30,Patna,204,ILLEGAL POSSESSION,47
17030,11-12-2021 11:00,12-10-2021 13:00,10-12-2021 16:08,Chennai,363,VEHICLE - STOLEN,35
17031,12-12-2021 09:00,12-10-2021 14:00,11-12-2021 07:36,Bangalore,233,FIREARM OFFENSE,11
17032,10-12-2021 21:00,12-10-2021 15:00,11-12-2021 13:09,Thane,317,IDENTITY THEFT,73
17033,11-12-2021 00:00,12-10-2021 16:00,11-12-2021 06:30,Srinagar,174,TRAFFIC VIOLATION,69
17034,11-12-2021 00:00,12-10-2021 17:00,10-12-2021 20:22,Delhi,248,HOMICIDE,27
17035,11-12-2021 18:00,12-10-2021 18:00,10-12-2021 23:54,Delhi,539,KIDNAPPING,65
17036,12-12-2021 00:00,12-10-2021 19:00,10-12-2021 23:50,Faridabad,319,DOMESTIC VIOLENCE,17
17037,12-12-2021 10:00,12-10-2021 20:00,11-12-2021 18:19,Bangalore,174,DRUG OFFENSE,70
17038,12-12-2021 08:00,12-10-2021 21:00,11-12-2021 07:35,Bangalore,285,VEHICLE - STOLEN,56
17039,12-12-2021 04:00,12-10-2021 22:00,11-12-2021 19:52,Kolkata,535,VEHICLE - STOLEN,65
17040,13-12-2021 08:00,12-10-2021 23:00,11-12-2021 03:32,Kolkata,172,FRAUD,55
17041,13-12-2021 18:00,12-11-2021 00:00,11-12-2021 10:41,Mumbai,364,HOMICIDE,36
17042,14-12-2021 00:00,12-11-2021 01:00,12-12-2021 00:30,Hyderabad,141,FIREARM OFFENSE,76
17043,12-12-2021 04:00,12-11-2021 02:00,11-12-2021 18:20,Kolkata,358,SHOPLIFTING,26
17044,11-12-2021 23:00,12-11-2021 03:00,11-12-2021 04:01,Pune,439,ARSON,15
17045,11-12-2021 15:00,12-11-2021 04:00,11-12-2021 16:30,Bangalore,320,COUNTERFEITING,10
17046,11-12-2021 21:00,12-11-2021 05:00,11-12-2021 18:34,Delhi,186,SHOPLIFTING,63
17047,13-12-2021 22:00,12-11-2021 06:00,12-12-2021 02:12,Kolkata,175,TRAFFIC VIOLATION,32
17048,11-12-2021 22:00,12-11-2021 07:00,11-12-2021 10:27,Bangalore,492,FRAUD,44
17049,13-12-2021 17:00,12-11-2021 08:00,11-12-2021 21:19,Kanpur,276,VEHICLE - STOLEN,54
17050,14-12-2021 02:00,12-11-2021 09:00,11-12-2021 10:27,Lucknow,137,PUBLIC INTOXICATION,13
17051,11-12-2021 23:00,12-11-2021 10:00,11-12-2021 11:53,Ghaziabad,285,PUBLIC INTOXICATION,30
17052,13-12-2021 17:00,12-11-2021 11:00,12-12-2021 01:33,Hyderabad,278,DRUG OFFENSE,76
17053,12-12-2021 03:00,12-11-2021 12:00,12-12-2021 10:59,Indore,292,ILLEGAL POSSESSION,60
17054,11-12-2021 20:00,12-11-2021 13:00,11-12-2021 19:16,Mumbai,379,VANDALISM,51
17055,12-12-2021 20:00,12-11-2021 14:00,12-12-2021 02:08,Bangalore,139,TRAFFIC VIOLATION,15
17056,13-12-2021 17:00,12-11-2021 15:00,12-12-2021 12:59,Bhopal,184,COUNTERFEITING,32
17057,14-12-2021 13:00,12-11-2021 16:00,12-12-2021 09:03,Bangalore,512,DOMESTIC VIOLENCE,38
17058,13-12-2021 19:00,12-11-2021 17:00,11-12-2021 18:13,Delhi,557,DRUG OFFENSE,57
17059,12-12-2021 18:00,12-11-2021 18:00,12-12-2021 00:27,Pune,464,SEXUAL ASSAULT,73
17060,12-12-2021 15:00,12-11-2021 19:00,12-12-2021 08:46,Kalyan,511,SHOPLIFTING,36
17061,14-12-2021 14:00,12-11-2021 20:00,11-12-2021 22:16,Bhopal,197,SEXUAL ASSAULT,60
17062,13-12-2021 21:00,12-11-2021 21:00,12-12-2021 19:01,Vasai,163,BURGLARY,63
17063,14-12-2021 04:00,12-11-2021 22:00,12-12-2021 03:19,Bangalore,535,FRAUD,19
17064,12-12-2021 15:00,12-11-2021 23:00,12-12-2021 19:39,Delhi,445,DOMESTIC VIOLENCE,72
17065,12-12-2021 05:00,12-12-2021 00:00,12-12-2021 01:38,Lucknow,223,ASSAULT,20
17066,12-12-2021 16:00,12-12-2021 01:00,12-12-2021 16:08,Delhi,521,COUNTERFEITING,36
17067,12-12-2021 11:00,12-12-2021 02:00,12-12-2021 14:20,Ahmedabad,136,DOMESTIC VIOLENCE,49
17068,14-12-2021 22:00,12-12-2021 03:00,12-12-2021 05:51,Nashik,264,SEXUAL ASSAULT,62
17069,13-12-2021 16:00,12-12-2021 04:00,12-12-2021 13:50,Jaipur,473,COUNTERFEITING,48
17070,13-12-2021 05:00,12-12-2021 05:00,12-12-2021 06:37,Jaipur,281,FIREARM OFFENSE,73
17071,14-12-2021 12:00,12-12-2021 06:00,12-12-2021 18:57,Hyderabad,499,SHOPLIFTING,56
17072,14-12-2021 02:00,12-12-2021 07:00,12-12-2021 10:17,Hyderabad,366,SEXUAL ASSAULT,32
17073,13-12-2021 12:00,12-12-2021 08:00,12-12-2021 11:10,Pune,373,FIREARM OFFENSE,64
17074,12-12-2021 15:00,12-12-2021 09:00,12-12-2021 20:45,Kolkata,299,PUBLIC INTOXICATION,79
17075,14-12-2021 05:00,12-12-2021 10:00,13-12-2021 08:41,Nashik,110,TRAFFIC VIOLATION,71
17076,13-12-2021 21:00,12-12-2021 11:00,12-12-2021 13:58,Delhi,358,DRUG OFFENSE,54
17077,14-12-2021 04:00,12-12-2021 12:00,12-12-2021 18:04,Lucknow,128,ROBBERY,33
17078,13-12-2021 17:00,12-12-2021 13:00,12-12-2021 19:50,Varanasi,355,ASSAULT,32
17079,14-12-2021 12:00,12-12-2021 14:00,12-12-2021 20:02,Delhi,473,VANDALISM,35
17080,14-12-2021 23:00,12-12-2021 15:00,12-12-2021 18:16,Chennai,287,KIDNAPPING,43
17081,14-12-2021 16:00,12-12-2021 16:00,12-12-2021 22:25,Visakhapatnam,542,ARSON,37
17082,15-12-2021 04:00,12-12-2021 17:00,13-12-2021 12:55,Ahmedabad,413,ARSON,16
17083,13-12-2021 11:00,12-12-2021 18:00,13-12-2021 08:38,Agra,116,SEXUAL ASSAULT,77
17084,12-12-2021 22:00,12-12-2021 19:00,13-12-2021 01:08,Mumbai,574,ARSON,11
17085,15-12-2021 06:00,12-12-2021 20:00,13-12-2021 01:32,Surat,172,DOMESTIC VIOLENCE,16
17086,15-12-2021 16:00,12-12-2021 21:00,13-12-2021 06:25,Chennai,552,ASSAULT,37
17087,15-12-2021 20:00,12-12-2021 22:00,13-12-2021 05:47,Meerut,114,DRUG OFFENSE,53
17088,14-12-2021 06:00,12-12-2021 23:00,13-12-2021 11:55,Bhopal,516,VANDALISM,68
17089,14-12-2021 21:00,12-13-2021 00:00,13-12-2021 23:57,Surat,459,BURGLARY,59
17090,13-12-2021 22:00,12-13-2021 01:00,13-12-2021 19:51,Surat,560,IDENTITY THEFT,40
17091,15-12-2021 05:00,12-13-2021 02:00,13-12-2021 07:55,Delhi,495,IDENTITY THEFT,21
17092,15-12-2021 05:00,12-13-2021 03:00,13-12-2021 11:34,Mumbai,308,FIREARM OFFENSE,42
17093,13-12-2021 19:00,12-13-2021 04:00,13-12-2021 05:46,Mumbai,194,SEXUAL ASSAULT,29
17094,15-12-2021 09:00,12-13-2021 05:00,13-12-2021 05:26,Delhi,486,COUNTERFEITING,76
17095,14-12-2021 12:00,12-13-2021 06:00,13-12-2021 09:48,Jaipur,233,HOMICIDE,20
17096,15-12-2021 19:00,12-13-2021 07:00,13-12-2021 11:30,Hyderabad,366,VANDALISM,50
17097,14-12-2021 19:00,12-13-2021 08:00,14-12-2021 06:23,Hyderabad,523,ASSAULT,73
17098,15-12-2021 12:00,12-13-2021 09:00,14-12-2021 05:58,Bangalore,577,COUNTERFEITING,16
17099,13-12-2021 22:00,12-13-2021 10:00,13-12-2021 11:31,Ahmedabad,274,FIREARM OFFENSE,32
17100,14-12-2021 03:00,12-13-2021 11:00,13-12-2021 11:57,Nagpur,477,DRUG OFFENSE,44
17101,15-12-2021 21:00,12-13-2021 12:00,14-12-2021 05:46,Bangalore,527,FRAUD,74
17102,14-12-2021 22:00,12-13-2021 13:00,14-12-2021 05:48,Varanasi,170,CYBERCRIME,56
17103,15-12-2021 06:00,12-13-2021 14:00,14-12-2021 01:10,Kolkata,474,BURGLARY,59
17104,14-12-2021 21:00,12-13-2021 15:00,14-12-2021 03:54,Kolkata,295,PUBLIC INTOXICATION,19
17105,15-12-2021 21:00,12-13-2021 16:00,14-12-2021 11:55,Hyderabad,513,ASSAULT,67
17106,16-12-2021 14:00,12-13-2021 17:00,14-12-2021 08:48,Chennai,572,ASSAULT,29
17107,16-12-2021 00:00,12-13-2021 18:00,13-12-2021 23:46,Chennai,499,SHOPLIFTING,65
17108,14-12-2021 05:00,12-13-2021 19:00,14-12-2021 07:34,Varanasi,381,BURGLARY,41
17109,14-12-2021 02:00,12-13-2021 20:00,13-12-2021 21:30,Lucknow,543,ARSON,63
17110,14-12-2021 10:00,12-13-2021 21:00,13-12-2021 23:46,Hyderabad,290,ROBBERY,73
17111,14-12-2021 12:00,12-13-2021 22:00,14-12-2021 11:07,Kanpur,376,SHOPLIFTING,28
17112,14-12-2021 06:00,12-13-2021 23:00,14-12-2021 17:14,Mumbai,442,ROBBERY,15
17113,15-12-2021 15:00,12-14-2021 00:00,14-12-2021 19:09,Ludhiana,359,ASSAULT,14
17114,15-12-2021 14:00,12-14-2021 01:00,14-12-2021 14:09,Ahmedabad,575,KIDNAPPING,45
17115,15-12-2021 19:00,12-14-2021 02:00,14-12-2021 22:24,Thane,443,COUNTERFEITING,40
17116,14-12-2021 07:00,12-14-2021 03:00,14-12-2021 09:28,Ahmedabad,384,CYBERCRIME,22
17117,15-12-2021 16:00,12-14-2021 04:00,14-12-2021 18:11,Ludhiana,487,FIREARM OFFENSE,69
17118,16-12-2021 06:00,12-14-2021 05:00,14-12-2021 13:58,Jaipur,335,DOMESTIC VIOLENCE,54
17119,16-12-2021 15:00,12-14-2021 06:00,15-12-2021 04:29,Ghaziabad,167,ILLEGAL POSSESSION,10
17120,15-12-2021 12:00,12-14-2021 07:00,15-12-2021 05:37,Kolkata,342,EXTORTION,68
17121,16-12-2021 12:00,12-14-2021 08:00,14-12-2021 09:55,Ahmedabad,271,VANDALISM,48
17122,17-12-2021 01:00,12-14-2021 09:00,14-12-2021 22:56,Hyderabad,152,DRUG OFFENSE,75
17123,15-12-2021 17:00,12-14-2021 10:00,14-12-2021 17:57,Mumbai,538,FIREARM OFFENSE,69
17124,15-12-2021 09:00,12-14-2021 11:00,15-12-2021 10:19,Mumbai,410,ASSAULT,31
17125,16-12-2021 03:00,12-14-2021 12:00,15-12-2021 06:20,Pune,181,ROBBERY,45
17126,15-12-2021 17:00,12-14-2021 13:00,14-12-2021 14:36,Pune,474,ILLEGAL POSSESSION,33
17127,16-12-2021 21:00,12-14-2021 14:00,15-12-2021 03:48,Kolkata,268,IDENTITY THEFT,76
17128,15-12-2021 16:00,12-14-2021 15:00,15-12-2021 00:25,Ghaziabad,286,ROBBERY,46
17129,15-12-2021 16:00,12-14-2021 16:00,15-12-2021 13:07,Faridabad,358,FRAUD,33
17130,16-12-2021 16:00,12-14-2021 17:00,15-12-2021 05:44,Delhi,588,FIREARM OFFENSE,65
17131,15-12-2021 09:00,12-14-2021 18:00,15-12-2021 17:00,Ludhiana,255,FRAUD,74
17132,15-12-2021 09:00,12-14-2021 19:00,14-12-2021 22:26,Mumbai,444,CYBERCRIME,41
17133,15-12-2021 22:00,12-14-2021 20:00,15-12-2021 05:57,Ahmedabad,348,SHOPLIFTING,52
17134,15-12-2021 02:00,12-14-2021 21:00,15-12-2021 20:25,Bhopal,292,VANDALISM,10
17135,15-12-2021 09:00,12-14-2021 22:00,15-12-2021 13:51,Rajkot,213,FRAUD,43
17136,17-12-2021 04:00,12-14-2021 23:00,15-12-2021 11:00,Bangalore,132,CYBERCRIME,65
17137,17-12-2021 02:00,12-15-2021 00:00,15-12-2021 08:04,Chennai,516,PUBLIC INTOXICATION,16
17138,15-12-2021 08:00,12-15-2021 01:00,15-12-2021 19:17,Mumbai,487,DOMESTIC VIOLENCE,15
17139,17-12-2021 05:00,12-15-2021 02:00,15-12-2021 08:36,Visakhapatnam,594,DRUG OFFENSE,52
17140,17-12-2021 20:00,12-15-2021 03:00,15-12-2021 16:21,Ahmedabad,150,ARSON,71
17141,16-12-2021 10:00,12-15-2021 04:00,15-12-2021 08:34,Pune,452,VANDALISM,50
17142,17-12-2021 05:00,12-15-2021 05:00,16-12-2021 04:20,Mumbai,312,FRAUD,16
17143,17-12-2021 23:00,12-15-2021 06:00,16-12-2021 05:04,Mumbai,491,IDENTITY THEFT,57
